t,src,x,y,z,r,roll,pitch,azimuth,flight_mode,armed,airborne
1764598709.453470,gui,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,-1,0,0
1764598709.468168,gui,0.0,0.0,0.0,0.0,0.0020,-0.0000,1.5815,1,0,0
1764598709.493249,gui,0.0,0.0,0.0,0.0,0.0020,-0.0000,1.5815,1,0,0
1764598709.518096,gui,0.0,0.0,0.0,0.0,0.0020,-0.0000,1.5815,1,0,0
1764598709.542991,gui,0.0,0.0,0.0,0.0,0.0020,-0.0000,1.5815,1,0,0
1764598709.568218,gui,0.0,0.0,0.0,0.0,0.0020,-0.0000,1.5815,1,0,0
1764598709.593144,gui,0.0,0.0,0.0,0.0,0.0020,-0.0000,1.5815,1,0,0
1764598709.617990,gui,0.0,0.0,0.0,0.0,0.0020,-0.0000,1.5815,1,0,0
1764598709.642919,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5816,1,0,0
1764598709.668216,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5816,1,0,0
1764598709.693223,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5816,1,0,0
1764598709.718052,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5816,1,0,0
1764598709.742967,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.768157,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.793057,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.818197,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.842962,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.868170,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.893130,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.918154,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.942931,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.968804,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598709.993110,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598710.018115,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598710.042911,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598710.068006,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598710.093091,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598710.118037,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598710.143166,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5816,1,0,0
1764598710.168060,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5816,1,0,0
1764598710.192985,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5816,1,0,0
1764598710.218091,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5816,1,0,0
1764598710.242982,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5816,1,0,0
1764598710.268233,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5816,1,0,0
